movie_title,cast and crew,Genre,vote_average,vote_count,comb
insidious: the last key,adam robitel leigh whannell lin shaye angus sampson leigh whannell spencer locke caitlin gerard kirk acevedo bruce davison,horror mystery thriller,6.2,1887,adam robitel leigh whannell lin shaye angus sampson leigh whannell spencer locke caitlin gerard kirk acevedo bruce davison horror mystery thriller
the strange ones,lauren wolkstein christopher radcliff alex pettyfer james freedson jackson emily althaus gene jones owen campbell tobias campbell,thriller drama,5.5,56,lauren wolkstein christopher radcliff alex pettyfer james freedson jackson emily althaus gene jones owen campbell tobias campbell thriller drama
stratton,simon west duncan falconer warren davis ii dominic cooper austin stowell gemma chan thomas kretschmann tyler hoechlin tom felton,action thriller,4.9,151,simon west duncan falconer warren davis ii dominic cooper austin stowell gemma chan thomas kretschmann tyler hoechlin tom felton action thriller
sweet country,warwick thornton david tranter steven mcgregor bryan brown sam neill,drama history western,6.7,100,warwick thornton david tranter steven mcgregor bryan brown sam neill drama history western
the commuter,jaume collet serra byron willinger philip de blasi liam neeson vera farmiga patrick wilson jonathan banks elizabeth mcgovern sam neill,action thriller,6.3,3212,jaume collet serra byron willinger philip de blasi liam neeson vera farmiga patrick wilson jonathan banks elizabeth mcgovern sam neill action thriller
proud mary,babak najafi john s newman christian swegal taraji p henson billy brown danny glover neal mcdonough xander berkeley margaret avery,thriller action crime,5.5,337,babak najafi john s newman christian swegal taraji p henson billy brown danny glover neal mcdonough xander berkeley margaret avery thriller action crime
acts of violence,brett donowho nicolas aaron mezzanatto bruce willis cole hauser shawn ashmore melissa bolona mike epps,action,5.8,260,brett donowho nicolas aaron mezzanatto bruce willis cole hauser shawn ashmore melissa bolona mike epps action
freak show,trudie styler patrick j clifton beth rigazio alex lawther abigail breslin bette midler annasophia robb ian nelson lorraine toussaint laverne cox,comedy drama,7.2,78,trudie styler patrick j clifton beth rigazio alex lawther abigail breslin bette midler annasophia robb ian nelson lorraine toussaint laverne cox comedy drama
humor me,sam hoffman jemaine clement elliott gould ingrid michaelson annie potts priscilla lopez bebe neuwirth maria dizzia,comedy,6.4,13,sam hoffman jemaine clement elliott gould ingrid michaelson annie potts priscilla lopez bebe neuwirth maria dizzia comedy
vazante,daniela thomas beto amaral adriano carvalho luana nastas,drama,7.7,14,daniela thomas beto amaral adriano carvalho luana nastas drama
mary and the witch's flower,hiromasa yonebayashi riko sakaguchi ruby barnhill louis ashbourne serkis kate winslet jim broadbent teresa gallagher ewen bremner rasmus hardiker morwenna banks lynda baron,fantasy adventure animation,7.1,487,hiromasa yonebayashi riko sakaguchi ruby barnhill louis ashbourne serkis kate winslet jim broadbent teresa gallagher ewen bremner rasmus hardiker morwenna banks lynda baron fantasy adventure animation
12 strong,nicolai fuglsig peter craig ted tally chris hemsworth michael shannon michael pe a navid negahban trevante rhodes geoff stults thad luckinbill rob riggle william fichtner,war drama action history,6,1971,nicolai fuglsig peter craig ted tally chris hemsworth michael shannon michael pe a navid negahban trevante rhodes geoff stults thad luckinbill rob riggle william fichtner war drama action history
den of thieves,christian gudegast paul scheuring gerard butler cent pablo schreiber o shea jackson jr evan jones dawn olivieri mo mcrae max holloway,action thriller crime,6.7,1874,christian gudegast paul scheuring gerard butler cent pablo schreiber o shea jackson jr evan jones dawn olivieri mo mcrae max holloway action thriller crime
forever my girl,bethany ashton wolf alex roe jessica rothe john benjamin hickey,romance drama music,7.6,769,bethany ashton wolf alex roe jessica rothe john benjamin hickey romance drama music
maze runner: the death cure,wes ball t s nowlin dylan o brien kaya scodelario thomas brodie sangster ki hong lee giancarlo esposito aidan gillen walton goggins barry pepper will poulter patricia clarkson,action science fiction,7.1,5313,wes ball t s nowlin dylan o brien kaya scodelario thomas brodie sangster ki hong lee giancarlo esposito aidan gillen walton goggins barry pepper will poulter patricia clarkson action science fiction
the insult,ziad doueiri joelle touma adel karam camille salameh kamel el basha,comedy crime,6.5,1306,ziad doueiri joelle touma adel karam camille salameh kamel el basha comedy crime
please stand by,ben lewin michael golamco dakota fanning toni collette alice eve,comedy drama,6.8,285,ben lewin michael golamco dakota fanning toni collette alice eve comedy drama
winchester,the spierig brothers helen mirren jason clarke sarah snook angus sampson,fantasy mystery thriller horror,5.9,1311,the spierig brothers helen mirren jason clarke sarah snook angus sampson fantasy mystery thriller horror
a fantastic woman,sebasti n lelio gonzalo maza daniela vega francisco reyes,drama,7.1,478,sebasti n lelio gonzalo maza daniela vega francisco reyes drama
armed,mario van peebles mario van peebles william fichtner ryan guzman columbus short laz alonso,action horror thriller,4.6,79,mario van peebles mario van peebles william fichtner ryan guzman columbus short laz alonso action horror thriller
the cloverfield paradox,julius onah oren uziel doug jung daniel br hl elizabeth debicki aksel hennie gugu mbatha raw chris o dowd john ortiz david oyelowo zhang ziyi,mystery thriller horror science fiction,5.6,2252,julius onah oren uziel doug jung daniel br hl elizabeth debicki aksel hennie gugu mbatha raw chris o dowd john ortiz david oyelowo zhang ziyi mystery thriller horror science fiction
peter rabbit,will gluck rob lieber james corden domhnall gleeson rose byrne daisy ridley margot robbie elizabeth debicki sam neill,animation adventure family,6.7,1080,will gluck rob lieber james corden domhnall gleeson rose byrne daisy ridley margot robbie elizabeth debicki sam neill animation adventure family
fifty shades freed,james foley niall leonard dakota johnson jamie dornan kim basinger eric johnson rita ora luke grimes victor rasuk jennifer ehle marcia gay harden,drama romance,6.6,5752,james foley niall leonard dakota johnson jamie dornan kim basinger eric johnson rita ora luke grimes victor rasuk jennifer ehle marcia gay harden drama romance
the 15:17 to paris,clint eastwood dorothy blyskal anthony sadler alek skarlatos spencer stone judy greer jenna fischer ray corasani,history drama thriller,5.4,1183,clint eastwood dorothy blyskal anthony sadler alek skarlatos spencer stone judy greer jenna fischer ray corasani history drama thriller
la boda de valentina,marco polo constandse omar chaparro marimar vega ryan carnes,comedy,5.8,12,marco polo constandse omar chaparro marimar vega ryan carnes comedy
kri,surendra poudel anmol k c aditi budhathoki anoop bikram shahi,,0,0,surendra poudel anmol k c aditi budhathoki anoop bikram shahi 
permission,brian crano rebecca hall dan stevens morgan spector david joseph craig gina gershon jason sudeikis,comedy romance drama,5.1,109,brian crano rebecca hall dan stevens morgan spector david joseph craig gina gershon jason sudeikis comedy romance drama
monster family,holger tappe david safier catharine junk emily watson jason isaacs nick frost jessica brown findlay celia imrie catherine tate,,0,0,holger tappe david safier catharine junk emily watson jason isaacs nick frost jessica brown findlay celia imrie catherine tate 
golden exits,alex ross perry emily browning adam horowitz mary louise parker jason schwartzman chlo sevigny analeigh tipton,drama,6.1,38,alex ross perry emily browning adam horowitz mary louise parker jason schwartzman chlo sevigny analeigh tipton drama
black panther,ryan coogler joe robert cole chadwick boseman michael b jordan lupita nyong o danai gurira martin freeman daniel kaluuya letitia wright winston duke angela bassett forest whitaker andy serkis,action adventure fantasy science fiction,7.4,16468,ryan coogler joe robert cole chadwick boseman michael b jordan lupita nyong o danai gurira martin freeman daniel kaluuya letitia wright winston duke angela bassett forest whitaker andy serkis action adventure fantasy science fiction
early man,nick park mark burton john o farrell eddie redmayne tom hiddleston maisie williams timothy spall,family comedy animation adventure,6.1,522,nick park mark burton john o farrell eddie redmayne tom hiddleston maisie williams timothy spall family comedy animation adventure
loveless,andrey zvyagintsev oleg negin andrey zvyagintsev maryana spivak alexei rozin matvey novikov marina vasilyeva andris kei s,drama,6.4,17,andrey zvyagintsev oleg negin andrey zvyagintsev maryana spivak alexei rozin matvey novikov marina vasilyeva andris kei s drama
the party,sally potter timothy spall kristin scott thomas patricia clarkson emily mortimer cillian murphy bruno ganz,comedy,6.2,692,sally potter timothy spall kristin scott thomas patricia clarkson emily mortimer cillian murphy bruno ganz comedy
nostalgia,mark pellington alex ross perry jon hamm nick offerman amber tamblyn patton oswalt catherine keener ellen burstyn bruce dern john ortiz james legros,drama,5.6,21,mark pellington alex ross perry jon hamm nick offerman amber tamblyn patton oswalt catherine keener ellen burstyn bruce dern john ortiz james legros drama
black '47,lance daly pj dillon pierce ryan eugene o brien lance daly hugo weaving jim broadbent stephen rea freddie fox moe dunford james frecheville sarah greene barry keoghan,drama western,6.6,172,lance daly pj dillon pierce ryan eugene o brien lance daly hugo weaving jim broadbent stephen rea freddie fox moe dunford james frecheville sarah greene barry keoghan drama western
samson,bruce macdonald timothy ratajczak jason baumgardner taylor james jackson rathbone billy zane caitlin leahy rutger hauer lindsay wagner,action drama adventure,5.8,158,bruce macdonald timothy ratajczak jason baumgardner taylor james jackson rathbone billy zane caitlin leahy rutger hauer lindsay wagner action drama adventure
game night,jonathan goldstein john francis daley s mark perez jason bateman rachel mcadams kyle chandler billy magnussen sharon horgan lamorne morris kylie bunbury jesse plemons michael c hall,mystery comedy crime,6.8,4080,jonathan goldstein john francis daley s mark perez jason bateman rachel mcadams kyle chandler billy magnussen sharon horgan lamorne morris kylie bunbury jesse plemons michael c hall mystery comedy crime
annihilation,alex garland natalie portman jennifer jason leigh gina rodriguez tessa thompson tuva novotny oscar isaac,action science fiction horror mystery,4.8,210,alex garland natalie portman jennifer jason leigh gina rodriguez tessa thompson tuva novotny oscar isaac action science fiction horror mystery
every day,michael sucsy jesse andrews angourie rice maria bello debby ryan jacob batalon justice smith lucas jade zumann,drama fantasy romance,7.2,1756,michael sucsy jesse andrews angourie rice maria bello debby ryan jacob batalon justice smith lucas jade zumann drama fantasy romance
the cured,david freyne ellen page sam keeley tom vaughan lawlor,horror drama science fiction,5.6,235,david freyne ellen page sam keeley tom vaughan lawlor horror drama science fiction
the lodgers,brian o malley david turpin charlotte vega bill milner eugene simon david bradley deirdre o kane moe dunford,drama horror romance thriller,5,353,brian o malley david turpin charlotte vega bill milner eugene simon david bradley deirdre o kane moe dunford drama horror romance thriller
red sparrow,francis lawrence justin haythe jennifer lawrence joel edgerton matthias schoenaerts charlotte rampling mary louise parker jeremy irons,mystery thriller,6.5,4450,francis lawrence justin haythe jennifer lawrence joel edgerton matthias schoenaerts charlotte rampling mary louise parker jeremy irons mystery thriller
death wish,eli roth joe carnahan bruce willis vincent d onofrio dean norris kimberly elise mike epps elisabeth shue camila morrone,action crime drama thriller,6.1,1797,eli roth joe carnahan bruce willis vincent d onofrio dean norris kimberly elise mike epps elisabeth shue camila morrone action crime drama thriller
the vanishing of sidney hall,shawn christensen jason dolan logan lerman elle fanning michelle monaghan nathan lane kyle chandler,drama mystery,6.7,161,shawn christensen jason dolan logan lerman elle fanning michelle monaghan nathan lane kyle chandler drama mystery
foxtrot,samuel maoz lior ashkenazi sarah adler yonatan shiray,comedy drama war,6.3,708,samuel maoz lior ashkenazi sarah adler yonatan shiray comedy drama war
pickings,usher morgan elyse price joel bernard katie vincent joe trombino,action crime thriller drama mystery,5.8,4,usher morgan elyse price joel bernard katie vincent joe trombino action crime thriller drama mystery
a wrinkle in time,ava duvernay jennifer lee storm reid oprah winfrey reese witherspoon mindy kaling levi miller deric mccabe chris pine gugu mbatha raw michael pe a zach galifianakis,adventure science fiction family fantasy,5.1,1387,ava duvernay jennifer lee storm reid oprah winfrey reese witherspoon mindy kaling levi miller deric mccabe chris pine gugu mbatha raw michael pe a zach galifianakis adventure science fiction family fantasy
gringo,nash edgerton anthony tambakis matthew stone david oyelowo charlize theron joel edgerton amanda seyfried thandie newton sharlto copley,comedy action,5.9,515,nash edgerton anthony tambakis matthew stone david oyelowo charlize theron joel edgerton amanda seyfried thandie newton sharlto copley comedy action
thoroughbreds,cory finley olivia cooke anya taylor joy anton yelchin paul sparks francie swift,drama thriller,6.4,654,cory finley olivia cooke anya taylor joy anton yelchin paul sparks francie swift drama thriller
the death of stalin,armando iannucci steve buscemi simon russell beale paddy considine rupert friend jason isaacs michael palin andrea riseborough jeffrey tambor,comedy drama history,7,1118,armando iannucci steve buscemi simon russell beale paddy considine rupert friend jason isaacs michael palin andrea riseborough jeffrey tambor comedy drama history
the leisure seeker,paolo virz francesca archibugi francesco piccolo stephen amidon donald sutherland helen mirren,drama romance adventure,7.1,351,paolo virz francesca archibugi francesco piccolo stephen amidon donald sutherland helen mirren drama romance adventure
the strangers: prey at night,johannes roberts bryan bertino ben ketai christina hendricks martin henderson bailee madison lewis pullman,horror thriller,5.5,927,johannes roberts bryan bertino ben ketai christina hendricks martin henderson bailee madison lewis pullman horror thriller
the hurricane heist,rob cohen toby kebbell maggie grace ryan kwanten melissa bolona ralph ineson,action crime thriller,5.7,707,rob cohen toby kebbell maggie grace ryan kwanten melissa bolona ralph ineson action crime thriller
tomb raider,roar uthaug geneva robertson dworet alicia vikander dominic west walton goggins daniel wu kristin scott thomas derek jacobi nick frost hannah john kamen,action adventure fantasy,6.3,5733,roar uthaug geneva robertson dworet alicia vikander dominic west walton goggins daniel wu kristin scott thomas derek jacobi nick frost hannah john kamen action adventure fantasy
"love, simon",greg berlanti isaac aptaker elizabeth berger nick robinson katherine langford alexandra shipp jorge lendeborg jr miles heizer keiynan lonsdale logan miller jennifer garner josh duhamel tony hale,comedy drama romance,8.2,4622,greg berlanti isaac aptaker elizabeth berger nick robinson katherine langford alexandra shipp jorge lendeborg jr miles heizer keiynan lonsdale logan miller jennifer garner josh duhamel tony hale comedy drama romance
i can only imagine,jon erwin andrew erwin co alex cramer brent mccorkle cloris leachman dennis quaid priscilla shirer madeline carroll j michael finley trace adkins,music drama,7.4,256,jon erwin andrew erwin co alex cramer brent mccorkle cloris leachman dennis quaid priscilla shirer madeline carroll j michael finley trace adkins music drama
7 days in entebbe,jos padilha gregory burke rosamund pike daniel br hl vincent cassel eddie marsan ben schnetzer,thriller drama crime,5.8,280,jos padilha gregory burke rosamund pike daniel br hl vincent cassel eddie marsan ben schnetzer thriller drama crime
furlough,laurie collyer barry strugatz melissa leo tessa thompson la la anthony whoopi goldberg anna paquin,comedy,6,39,laurie collyer barry strugatz melissa leo tessa thompson la la anthony whoopi goldberg anna paquin comedy
josie,eric england anthony ragnone ii sophie turner dylan mcdermott jack kilmer,thriller drama,5.4,52,eric england anthony ragnone ii sophie turner dylan mcdermott jack kilmer thriller drama
flower,max winkler alex mcaulay zoey deutch kathryn hahn tim heidecker joey morgan adam scott,drama comedy,6.6,155,max winkler alex mcaulay zoey deutch kathryn hahn tim heidecker joey morgan adam scott drama comedy
pacific rim: uprising,steven s deknight emily carmichael kira snyder t s nowlin john boyega scott eastwood cailee spaeny charlie day burn gorman rinko kikuchi jing tian adria arjona zhang jin,action fantasy science fiction adventure,6.1,3351,steven s deknight emily carmichael kira snyder t s nowlin john boyega scott eastwood cailee spaeny charlie day burn gorman rinko kikuchi jing tian adria arjona zhang jin action fantasy science fiction adventure
isle of dogs,wes anderson bryan cranston edward norton bill murray jeff goldblum bob balaban greta gerwig frances mcdormand courtney b vance fisher stevens harvey keitel liev schreiber scarlett johansson tilda swinton f murray abraham frank wood,adventure comedy animation,7.9,3109,wes anderson bryan cranston edward norton bill murray jeff goldblum bob balaban greta gerwig frances mcdormand courtney b vance fisher stevens harvey keitel liev schreiber scarlett johansson tilda swinton f murray abraham frank wood adventure comedy animation
sherlock gnomes,john stevenson ben zazove james mcavoy emily blunt johnny depp chiwetel ejiofor mary j blige michael caine maggie smith ashley jensen matt lucas stephen merchant julie walters richard wilson,animation family fantasy comedy adventure mystery,5.6,510,john stevenson ben zazove james mcavoy emily blunt johnny depp chiwetel ejiofor mary j blige michael caine maggie smith ashley jensen matt lucas stephen merchant julie walters richard wilson animation family fantasy comedy adventure mystery
unsane,steven soderbergh jonathan bernstein james greer claire foy joshua leonard jay pharoah juno temple aimee mullins amy irving,horror thriller,6.2,1046,steven soderbergh jonathan bernstein james greer claire foy joshua leonard jay pharoah juno temple aimee mullins amy irving horror thriller
"paul, apostle of christ",andrew hyatt james faulkner jim caviezel olivier martinez joanne whalley john lynch,history drama,6.9,156,andrew hyatt james faulkner jim caviezel olivier martinez joanne whalley john lynch history drama
final portrait,stanley tucci geoffrey rush armie hammer cl mence po sy tony shalhoub james faulkner sylvie testud,drama history,6.1,118,stanley tucci geoffrey rush armie hammer cl mence po sy tony shalhoub james faulkner sylvie testud drama history
midnight sun,scott speer eric kirsten bella thorne patrick schwarzenegger rob riggle quinn shephard,romance drama,7.8,2599,scott speer eric kirsten bella thorne patrick schwarzenegger rob riggle quinn shephard romance drama
followers,ryan justice ian longen jason henne amanda delaney justin maina sean michael gloria nishant gogna david e mcmahon,thriller,5.5,11,ryan justice ian longen jason henne amanda delaney justin maina sean michael gloria nishant gogna david e mcmahon thriller
ready player one,steven spielberg ernest cline zak penn tye sheridan olivia cooke ben mendelsohn lena waithe t j miller simon pegg mark rylance win morisaki philip zhao hannah john kamen,adventure science fiction,7.6,10552,steven spielberg ernest cline zak penn tye sheridan olivia cooke ben mendelsohn lena waithe t j miller simon pegg mark rylance win morisaki philip zhao hannah john kamen adventure science fiction
tyler perry's acrimony,tyler perry taraji p henson lyriq bent tika sumpter,thriller,6.6,234,tyler perry taraji p henson lyriq bent tika sumpter thriller
god's not dead: a light in darkness,michael mason david a r white john corbett shane harper benjamin onyango ted mcginley jennifer taylor tatum o neal shwayze cissy houston,drama,6.9,104,michael mason david a r white john corbett shane harper benjamin onyango ted mcginley jennifer taylor tatum o neal shwayze cissy houston drama
gemini,aaron katz lola kirke zo kravitz greta lee michelle forbes nelson franklin reeve carney jessica parker kennedy james ransone ricki lake john cho,action drama science fiction thriller,6.4,3180,aaron katz lola kirke zo kravitz greta lee michelle forbes nelson franklin reeve carney jessica parker kennedy james ransone ricki lake john cho action drama science fiction thriller
the last movie star,adam rifkin burt reynolds ariel winter clark duke ellar coltrane chevy chase,drama,6.2,53,adam rifkin burt reynolds ariel winter clark duke ellar coltrane chevy chase drama
a quiet place,john krasinski scott beck bryan woods john krasinski emily blunt millicent simmonds noah jupe,horror drama science fiction,7.3,9065,john krasinski scott beck bryan woods john krasinski emily blunt millicent simmonds noah jupe horror drama science fiction
blockers,kay cannon eben russell jon hurwitz hayden schlossberg brian kehoe jim kehoe leslie mann ike barinholtz john cena kathryn newton graham phillips june diane raphael hannibal buress sarayu blue,comedy,6.3,1428,kay cannon eben russell jon hurwitz hayden schlossberg brian kehoe jim kehoe leslie mann ike barinholtz john cena kathryn newton graham phillips june diane raphael hannibal buress sarayu blue comedy
you were never really here,lynne ramsay joaquin phoenix ekaterina samsonov alex manette john doman judith roberts,thriller drama,6.5,1755,lynne ramsay joaquin phoenix ekaterina samsonov alex manette john doman judith roberts thriller drama
chappaquiddick,john curran taylor allen andrew logan jason clarke kate mara ed helms bruce dern jim gaffigan taylor nichols,drama thriller history,6,172,john curran taylor allen andrew logan jason clarke kate mara ed helms bruce dern jim gaffigan taylor nichols drama thriller history
pandas,drew fellman david douglas s drew fellman kristen bell,documentary,8.1,28,drew fellman david douglas s drew fellman kristen bell documentary
lean on pete,andrew haigh charlie plummer chlo sevigny travis fimmel steve buscemi,drama adventure,6.8,211,andrew haigh charlie plummer chlo sevigny travis fimmel steve buscemi drama adventure
the miracle season,sean mcnamara david aaron cohen elissa matsueda helen hunt william hurt erin moriarty danika yarosh,drama,7.2,177,sean mcnamara david aaron cohen elissa matsueda helen hunt william hurt erin moriarty danika yarosh drama
beirut,brad anderson tony gilroy jon hamm rosamund pike dean norris shea whigham larry pine mark pellegrino,action thriller drama,6.2,329,brad anderson tony gilroy jon hamm rosamund pike dean norris shea whigham larry pine mark pellegrino action thriller drama
rampage,brad peyton ryan engle dwayne johnson naomie harris malin kerman jake lacy marley shelton joe manganiello jeffrey dean morgan,action adventure science fiction,6.4,4841,brad peyton ryan engle dwayne johnson naomie harris malin kerman jake lacy marley shelton joe manganiello jeffrey dean morgan action adventure science fiction
truth or dare,jeff wadlow michael reisz chris roach jillian jacobs lucy hale tyler posey violett beane nolan gerard funk hayden szeto sophia taylor ali,thriller horror,6,2929,jeff wadlow michael reisz chris roach jillian jacobs lucy hale tyler posey violett beane nolan gerard funk hayden szeto sophia taylor ali thriller horror
the rider,chlo zhao brady jandreau,drama western,7.4,265,chlo zhao brady jandreau drama western
sgt. stubby: an american hero,richard lanni mike stokey logan lerman helena bonham carter g rard depardieu,animation adventure family history war,7.3,77,richard lanni mike stokey logan lerman helena bonham carter g rard depardieu animation adventure family history war
i feel pretty,abby kohn marc silverstein amy schumer michelle williams emily ratajkowski rory scovel,comedy romance,6.4,1598,abby kohn marc silverstein amy schumer michelle williams emily ratajkowski rory scovel comedy romance
super troopers 2,jay chandrasekhar broken lizard jay chandrasekhar paul soter steve lemme erik stolhanske kevin heffernan,comedy crime mystery,5.8,286,jay chandrasekhar broken lizard jay chandrasekhar paul soter steve lemme erik stolhanske kevin heffernan comedy crime mystery
traffik,deon taylor paula patton omar epps missi pyle william fichtner roselyn sanchez dawn olivieri laz alonso,thriller horror,6.2,332,deon taylor paula patton omar epps missi pyle william fichtner roselyn sanchez dawn olivieri laz alonso thriller horror
the house of tomorrow,peter livolsi asa butterfield nick offerman ellen burstyn alex wolff maude apatow,drama,6.3,41,peter livolsi asa butterfield nick offerman ellen burstyn alex wolff maude apatow drama
liz and the blue bird,naoko yamada reiko yoshida atsumi tanezaki nao t yama,animation drama music,7.1,45,naoko yamada reiko yoshida atsumi tanezaki nao t yama animation drama music
avengers: infinity war,anthony russo and joe russo s christopher markus and stephen mcfeely robert downey jr chris hemsworth mark ruffalo chris evans scarlett johansson benedict cumberbatch don cheadle tom holland chadwick boseman paul bettany elizabeth olsen anthony mackie sebastian stan danai gurira letitia wright dave bautista zoe saldana pom klementieff karen gillan benedict wong idris elba peter dinklage tom hiddleston vin diesel bradley cooper gwyneth paltrow benicio del toro josh brolin chris pratt,adventure action science fiction,8.3,20398,anthony russo and joe russo s christopher markus and stephen mcfeely robert downey jr chris hemsworth mark ruffalo chris evans scarlett johansson benedict cumberbatch don cheadle tom holland chadwick boseman paul bettany elizabeth olsen anthony mackie sebastian stan danai gurira letitia wright dave bautista zoe saldana pom klementieff karen gillan benedict wong idris elba peter dinklage tom hiddleston vin diesel bradley cooper gwyneth paltrow benicio del toro josh brolin chris pratt adventure action science fiction
disobedience,sebasti n lelio rebecca lenkiewicz rachel weisz rachel mcadams alessandro nivola,drama romance,6.9,720,sebasti n lelio rebecca lenkiewicz rachel weisz rachel mcadams alessandro nivola drama romance
backstabbing for beginners,per fly daniel pyne per fly ben kingsley theo james jacqueline bisset,thriller drama history,6.2,129,per fly daniel pyne per fly ben kingsley theo james jacqueline bisset thriller drama history
kings,deniz gamze erg ven halle berry daniel craig,adventure drama action,5.8,3515,deniz gamze erg ven halle berry daniel craig adventure drama action
overboard,rob greenberg bob fisher s anna faris eugenio derbez eva longoria john hannah josh segarra mel rodriguez,romance comedy,6.6,939,rob greenberg bob fisher s anna faris eugenio derbez eva longoria john hannah josh segarra mel rodriguez romance comedy
tully,jason reitman diablo cody charlize theron mackenzie davis mark duplass ron livingston,drama,6.8,971,jason reitman diablo cody charlize theron mackenzie davis mark duplass ron livingston drama
bad samaritan,dean devlin brandon boyce david tennant robert sheehan carlito olivero kerry condon jacqueline byers,thriller crime horror,6.6,373,dean devlin brandon boyce david tennant robert sheehan carlito olivero kerry condon jacqueline byers thriller crime horror
the cleanse,bobby miller johnny galecki anna friel oliver platt anjelica huston,drama comedy fantasy,5.3,35,bobby miller johnny galecki anna friel oliver platt anjelica huston drama comedy fantasy
the guardians,xavier beauvois nathalie baye,animation family fantasy action adventure,7.3,4850,xavier beauvois nathalie baye animation family fantasy action adventure
life of the party,ben falcone melissa mccarthy melissa mccarthy maya rudolph molly gordon julie bowen gillian jacobs debby ryan matt walsh jacki weaver,comedy,6.2,692,ben falcone melissa mccarthy melissa mccarthy maya rudolph molly gordon julie bowen gillian jacobs debby ryan matt walsh jacki weaver comedy
breaking in,james mcteigue ryan engle gabrielle union billy burke richard cabral seth carr levi meaden ajiona alexus christa miller,thriller crime action horror,5.9,443,james mcteigue ryan engle gabrielle union billy burke richard cabral seth carr levi meaden ajiona alexus christa miller thriller crime action horror
the seagull,michael mayer stephen karam saoirse ronan annette bening corey stoll billy howle,drama romance comedy,5.6,57,michael mayer stephen karam saoirse ronan annette bening corey stoll billy howle drama romance comedy
terminal,vaughn stein margot robbie simon pegg dexter fletcher max irons mike myers,crime drama thriller,5.6,512,vaughn stein margot robbie simon pegg dexter fletcher max irons mike myers crime drama thriller
revenge,coralie fargeat matilda lutz kevin janssens vincent colombe guillaume bouch de,action thriller horror,6.3,1077,coralie fargeat matilda lutz kevin janssens vincent colombe guillaume bouch de action thriller horror
deadpool 2,david leitch rhett reese paul wernick ryan reynolds ryan reynolds josh brolin zazie beetz julian dennison morena baccarin t j miller brianna hildebrand stefan kapi i jack kesy,action comedy adventure,7.5,12485,david leitch rhett reese paul wernick ryan reynolds ryan reynolds josh brolin zazie beetz julian dennison morena baccarin t j miller brianna hildebrand stefan kapi i jack kesy action comedy adventure
book club,bill holderman erin simms jane fonda candice bergen mary steenburgen diane keaton,comedy romance drama,6.1,501,bill holderman erin simms jane fonda candice bergen mary steenburgen diane keaton comedy romance drama
first reformed,paul schrader ethan hawke amanda seyfried cedric kyles,drama,7,813,paul schrader ethan hawke amanda seyfried cedric kyles drama
pope francis: a man of his word,wim wenders pope francis,documentary,7.3,44,wim wenders pope francis documentary
show dogs,raja gosnell max botkin will arnett natasha lyonne ludacris stanley tucci shaquille o neal gabriel iglesias alan cumming oliver tompsett andy beckwith,adventure crime family comedy,5.8,135,raja gosnell max botkin will arnett natasha lyonne ludacris stanley tucci shaquille o neal gabriel iglesias alan cumming oliver tompsett andy beckwith adventure crime family comedy
solo: a star wars story,ron howard lawrence kasdan jon kasdan alden ehrenreich woody harrelson emilia clarke donald glover thandie newton phoebe waller bridge joonas suotamo paul bettany,adventure science fiction,6.6,5823,ron howard lawrence kasdan jon kasdan alden ehrenreich woody harrelson emilia clarke donald glover thandie newton phoebe waller bridge joonas suotamo paul bettany adventure science fiction
how to talk to girls at parties,john cameron mitchell philippa goslett john cameron mitchell elle fanning alex sharp nicole kidman ruth wilson matt lucas,comedy music romance science fiction,6.2,239,john cameron mitchell philippa goslett john cameron mitchell elle fanning alex sharp nicole kidman ruth wilson matt lucas comedy music romance science fiction
in darkness,anthony byrne anthony byrne natalie dormer natalie dormer emily ratajkowski ed skrein joely richardson neil maskell james cosmo jan bijvoet,thriller mystery,6,320,anthony byrne anthony byrne natalie dormer natalie dormer emily ratajkowski ed skrein joely richardson neil maskell james cosmo jan bijvoet thriller mystery
the misandrists,bruce labruce bruce labruce susanne sach e viva ruiz kembra pfahler caprice crawford grete gehrke,drama,3.7,15,bruce labruce bruce labruce susanne sach e viva ruiz kembra pfahler caprice crawford grete gehrke drama
future world,james franco bruce thierry cheung bruce thierry cheung jeremy cheung jay davis james franco suki waterhouse jeffrey wahlberg margarita levieva snoop dogg george lewis jr method man lucy liu milla jovovich,science fiction,4.1,138,james franco bruce thierry cheung bruce thierry cheung jeremy cheung jay davis james franco suki waterhouse jeffrey wahlberg margarita levieva snoop dogg george lewis jr method man lucy liu milla jovovich science fiction
action point,tim kirkby johnny knoxville johnny knoxville chris pontius,comedy drama,5.4,234,tim kirkby johnny knoxville johnny knoxville chris pontius comedy drama
adrift,baltasar korm kur aaron kandell jordan kandell david branson smith shailene woodley sam claflin,thriller romance adventure,6.8,1914,baltasar korm kur aaron kandell jordan kandell david branson smith shailene woodley sam claflin thriller romance adventure
upgrade,leigh whannell logan marshall green betty gabriel harrison gilbertson melanie vallejo benedict hardie linda cropper simon maiden,action thriller science fiction,7.5,2512,leigh whannell logan marshall green betty gabriel harrison gilbertson melanie vallejo benedict hardie linda cropper simon maiden action thriller science fiction
american animals,bart layton evan peters barry keoghan blake jenner jared abrahamson udo kier ann dowd,drama crime documentary,6.9,566,bart layton evan peters barry keoghan blake jenner jared abrahamson udo kier ann dowd drama crime documentary
