movie_title,cast and crew,Genre,vote_average,vote_count,comb
the sweet hereafter,ian holm caerthan banks sarah polley tom mccamus gabrielle rose atom egoyan,drama,6.8,103,ian holm caerthan banks sarah polley tom mccamus gabrielle rose atom egoyan drama
des hommes et des dieux,lambert wilson michael lonsdale olivier rabourdin philippe laudenbach jacques herlin xavier beauvois,drama history,6.5,91,lambert wilson michael lonsdale olivier rabourdin philippe laudenbach jacques herlin xavier beauvois drama history
bottle shock,alan rickman chris pine bill pullman rachael taylor freddy rodr\u00edguez randall miller,comedy drama,6.6,60,alan rickman chris pine bill pullman rachael taylor freddy rodr\u00edguez randall miller comedy drama
jekyll and hyde ... together again,mark blankfield bess armstrong krista errickson tim thomerson michael mcguire jerry belson,comedy horror science fiction,4.6,5,mark blankfield bess armstrong krista errickson tim thomerson michael mcguire jerry belson comedy horror science fiction
heavenly creatures,melanie lynskey kate winslet sarah peirse simon o'connor diana kent peter jackson,drama fantasy,7,294,melanie lynskey kate winslet sarah peirse simon o'connor diana kent peter jackson drama fantasy
90 minutes in heaven,kate bosworth hayden christensen hudson meek bobby batson elizabeth hunter michael polish,drama,5.4,40,kate bosworth hayden christensen hudson meek bobby batson elizabeth hunter michael polish drama
everything must go,rebecca hall will ferrell glenn howerton laura dern christopher jordan wallace dan rush,comedy drama romance,6,208,rebecca hall will ferrell glenn howerton laura dern christopher jordan wallace dan rush comedy drama romance
zero effect,bill pullman ben stiller ryan o'neal kim dickens angela featherstone jake kasdan,comedy crime mystery thriller,6,55,bill pullman ben stiller ryan o'neal kim dickens angela featherstone jake kasdan comedy crime mystery thriller
the machinist,christian bale jennifer jason leigh aitana s\u00e1nchez-gij\u00f3n john sharian michael ironside brad anderson,thriller drama,7.3,1247,christian bale jennifer jason leigh aitana s\u00e1nchez-gij\u00f3n john sharian michael ironside brad anderson thriller drama
light sleeper,willem dafoe susan sarandon dana delany david clennon mary beth hurt paul schrader,drama crime,5.7,15,willem dafoe susan sarandon dana delany david clennon mary beth hurt paul schrader drama crime
kill the messenger,jeremy renner mary elizabeth winstead michael sheen ray liotta robert patrick michael cuesta,thriller crime drama mystery,6.6,355,jeremy renner mary elizabeth winstead michael sheen ray liotta robert patrick michael cuesta thriller crime drama mystery
rabbit hole,nicole kidman aaron eckhart dianne wiest miles teller tammy blanchard john cameron mitchell,drama,6.9,165,nicole kidman aaron eckhart dianne wiest miles teller tammy blanchard john cameron mitchell drama
party monster,seth green macaulay culkin chlo\u00eb sevigny diana scarwid marilyn manson fenton bailey,comedy drama crime,5.9,58,seth green macaulay culkin chlo\u00eb sevigny diana scarwid marilyn manson fenton bailey comedy drama crime
green room,anton yelchin imogen poots alia shawkat joe cole callum turner jeremy saulnier,horror crime thriller,6.7,683,anton yelchin imogen poots alia shawkat joe cole callum turner jeremy saulnier horror crime thriller
the oh in ohio,parker posey danny devito paul rudd mischa barton miranda bailey billy kent,comedy drama romance,5.8,27,parker posey danny devito paul rudd mischa barton miranda bailey billy kent comedy drama romance
atlas shrugged part iii: who is john galt?,eric allan kramer rob morrow stephen tobolowsky kristoffer polaha lew temple james manera,drama science fiction mystery,3.9,15,eric allan kramer rob morrow stephen tobolowsky kristoffer polaha lew temple james manera drama science fiction mystery
bottle rocket,luke wilson owen wilson lumi cavazos andrew wilson robert musgrave wes anderson,comedy crime drama,6.8,281,luke wilson owen wilson lumi cavazos andrew wilson robert musgrave wes anderson comedy crime drama
albino alligator,matt dillon faye dunaway gary sinise william fichtner viggo mortensen kevin spacey,crime drama thriller,5.6,45,matt dillon faye dunaway gary sinise william fichtner viggo mortensen kevin spacey crime drama thriller
"gandhi, my father",darshan jariwala akshaye khanna bhumika chawla shefali shah vinay jain feroz abbas khan,drama foreign history,6,2,darshan jariwala akshaye khanna bhumika chawla shefali shah vinay jain feroz abbas khan drama foreign history
standard operating procedure,javal davis ken davis tony diaz tim dugan lynndie england errol morris,documentary,6.6,14,javal davis ken davis tony diaz tim dugan lynndie england errol morris documentary
out of the blue,dennis hopper raymond burr sharon farrell linda manz don gordon dennis hopper,drama,6.5,17,dennis hopper raymond burr sharon farrell linda manz don gordon dennis hopper drama
tucker and dale vs evil,alan tudyk tyler labine katrina bowden jesse moss philip granger eli craig,comedy horror,7.3,847,alan tudyk tyler labine katrina bowden jesse moss philip granger eli craig comedy horror
"lovely, still",martin landau ellen burstyn adam scott elizabeth banks nicholas fackler,drama romance,6.2,13,martin landau ellen burstyn adam scott elizabeth banks nicholas fackler drama romance
tycoon,john wayne laraine day cedric hardwicke judith anderson anthony quinn richard wallace,action drama romance,6.6,4,john wayne laraine day cedric hardwicke judith anderson anthony quinn richard wallace action drama romance
desert blue,casey affleck kate hudson brendan sexton iii christina ricci ethan suplee morgan j. freeman,comedy drama,5.5,9,casey affleck kate hudson brendan sexton iii christina ricci ethan suplee morgan j. freeman comedy drama
decoys,kim poirier stefanie von pfetten elias toufexis meghan ory ennis esmer matthew hastings,horror science fiction thriller,4.7,33,kim poirier stefanie von pfetten elias toufexis meghan ory ennis esmer matthew hastings horror science fiction thriller
the visit,olivia dejonge ed oxenbould kathryn hahn benjamin kanes deanna dunagan m. night shyamalan,horror thriller,6,1360,olivia dejonge ed oxenbould kathryn hahn benjamin kanes deanna dunagan m. night shyamalan horror thriller
redacted,izzy diaz rob devaney ty jones anas wellman mike figueroa brian de palma,drama war,6.2,37,izzy diaz rob devaney ty jones anas wellman mike figueroa brian de palma drama war
fascination,jacqueline bisset adam garcia james naughton stuart wilson alice evans klaus menzel,romance thriller,3.8,4,jacqueline bisset adam garcia james naughton stuart wilson alice evans klaus menzel romance thriller
area 51,reid warner darrin bragg ben rovner jelena nik roy abramsohn oren peli,horror thriller science fiction,4.2,151,reid warner darrin bragg ben rovner jelena nik roy abramsohn oren peli horror thriller science fiction
mientras duermes,luis tosar marta etura  alberto san juan petra mart\u00ednez iris almeida jaume balaguer\u00f3,thriller,7,202,luis tosar marta etura  alberto san juan petra mart\u00ednez iris almeida jaume balaguer\u00f3 thriller
the cottage,andy serkis reece shearsmith jennifer ellison steven o'donnell james bierman paul andrew williams,horror comedy crime thriller,6.3,80,andy serkis reece shearsmith jennifer ellison steven o'donnell james bierman paul andrew williams horror comedy crime thriller
dead like me: life after death,ellen muth jasmine guy callum blue sarah wynter britt mckillip stephen herek,drama fantasy comedy,5.8,65,ellen muth jasmine guy callum blue sarah wynter britt mckillip stephen herek drama fantasy comedy
farce of the penguins,samuel l. jackson jim belushi whoopi goldberg christina applegate jason biggs bob saget,comedy documentary,3.2,13,samuel l. jackson jim belushi whoopi goldberg christina applegate jason biggs bob saget comedy documentary
flying by,billy ray cyrus heather locklear ahnaise christmas arabella field mo collins  ,drama,7,2,billy ray cyrus heather locklear ahnaise christmas arabella field mo collins   drama
rudderless,billy crudup anton yelchin felicity huffman selena gomez laurence fishburne william h. macy,music drama comedy,7.4,105,billy crudup anton yelchin felicity huffman selena gomez laurence fishburne william h. macy music drama comedy
henry & me,richard gere luis guzm\u00e1n chazz palminteri cyndi lauper lucie arnaz barrett esposito,family animation,3,3,richard gere luis guzm\u00e1n chazz palminteri cyndi lauper lucie arnaz barrett esposito family animation
christmas eve,patrick stewart cheryl hines gary cole jon heder james roday mitch davis,romance comedy,6.1,24,patrick stewart cheryl hines gary cole jon heder james roday mitch davis romance comedy
we have your husband,teri polo esai morales nicholas gonzalez olivia d'abo william r. moses eric bross,tv movie crime drama thriller,5,3,teri polo esai morales nicholas gonzalez olivia d'abo william r. moses eric bross tv movie crime drama thriller
dying of the light,nicolas cage anton yelchin alexander karim ir\u00e8ne jacob aymen hamdouchi paul schrader,thriller drama,4.5,118,nicolas cage anton yelchin alexander karim ir\u00e8ne jacob aymen hamdouchi paul schrader thriller drama
born of war,james frain sofia black-d'elia lydia leonard joey ansah michael maloney vicky jewson,action thriller war,4.1,7,james frain sofia black-d'elia lydia leonard joey ansah michael maloney vicky jewson action thriller war
capricorn one,elliott gould james brolin brenda vaccaro sam waterston o.j. simpson peter hyams,drama action thriller science fiction,6.4,131,elliott gould james brolin brenda vaccaro sam waterston o.j. simpson peter hyams drama action thriller science fiction
should've been romeo,paul ben-victor ed asner jordenn thompson carol kane michael rapaport marcia bennett,comedy drama,0,0,paul ben-victor ed asner jordenn thompson carol kane michael rapaport marcia bennett comedy drama
running forever,   ,family,0,0,    family
yoga hosers,lily-rose depp harley quinn smith justin long austin butler adam brody kevin smith,comedy fantasy horror thriller,4.7,102,lily-rose depp harley quinn smith justin long austin butler adam brody kevin smith comedy fantasy horror thriller
navy seals vs. zombies,"ed quinn michael dudikoff rick fox chad ""gunner"" lail molly hagan stanton barrett",horror action,3.5,36,"ed quinn michael dudikoff rick fox chad ""gunner"" lail molly hagan stanton barrett horror action"
obsluhoval jsem anglického krále,ivan barnev old\u0159ich kaiser julia jentsch mari\u00e1n labuda martin huba ji\u0159\u00ed menzel,comedy drama,7,22,ivan barnev old\u0159ich kaiser julia jentsch mari\u00e1n labuda martin huba ji\u0159\u00ed menzel comedy drama
soul kitchen,adam bousdoukos birol \u00dcnel moritz bleibtreu wotan wilke m\u00f6hring dorka gryllus fatih akin,drama comedy,7.1,116,adam bousdoukos birol \u00dcnel moritz bleibtreu wotan wilke m\u00f6hring dorka gryllus fatih akin drama comedy
sling blade,billy bob thornton dwight yoakam j. t. walsh john ritter lucas black billy bob thornton,drama,7.4,231,billy bob thornton dwight yoakam j. t. walsh john ritter lucas black billy bob thornton drama
the awakening,rebecca hall dominic west imelda staunton isaac hempstead-wright lucy cohu nick murphy ,horror thriller,6.3,458,rebecca hall dominic west imelda staunton isaac hempstead-wright lucy cohu nick murphy  horror thriller
hostel,jay hernandez derek richardson eythor gudjonsson barbara nedeljakova jana kaderabkova eli roth,horror,5.7,887,jay hernandez derek richardson eythor gudjonsson barbara nedeljakova jana kaderabkova eli roth horror
a cock and bull story,steve coogan rob brydon keeley hawes shirley henderson raymond waring michael winterbottom,comedy drama,6.2,43,steve coogan rob brydon keeley hawes shirley henderson raymond waring michael winterbottom comedy drama
take shelter,michael shannon jessica chastain katy mixon shea whigham ray mckinnon jeff nichols,thriller drama,7.1,471,michael shannon jessica chastain katy mixon shea whigham ray mckinnon jeff nichols thriller drama
lady in white,lukas haas len cariou alex rocco katherine helmond jason presson frank laloggia,horror thriller,6.3,25,lukas haas len cariou alex rocco katherine helmond jason presson frank laloggia horror thriller
driving lessons,laura linney rupert grint julie walters michelle duncan oliver milburn jeremy brock,drama comedy,6.3,47,laura linney rupert grint julie walters michelle duncan oliver milburn jeremy brock drama comedy
let's kill ward's wife,patrick wilson scott foley amy acker donald faison dagmara domi\u0144czyk scott foley,comedy,5.5,76,patrick wilson scott foley amy acker donald faison dagmara domi\u0144czyk scott foley comedy
the texas chainsaw massacre 2,dennis hopper caroline williams jim siedow bill moseley bill johnson tobe hooper,horror,5.9,139,dennis hopper caroline williams jim siedow bill moseley bill johnson tobe hooper horror
pat garrett & billy the kid,james coburn kris kristofferson richard jaeckel katy jurado chill wills sam peckinpah,western,7.2,65,james coburn kris kristofferson richard jaeckel katy jurado chill wills sam peckinpah western
only god forgives,ryan gosling kristin scott thomas gordon brown tom burke vithaya pansringarm nicolas winding refn,drama thriller crime,5.6,862,ryan gosling kristin scott thomas gordon brown tom burke vithaya pansringarm nicolas winding refn drama thriller crime
camping sauvage,denis lavant isild le besco pascal bongard jean-michel guerin martine demaret christophe ali,drama romance,4.8,4,denis lavant isild le besco pascal bongard jean-michel guerin martine demaret christophe ali drama romance
without men,eva longoria christian slater oscar nunez kate del castillo m\u00f3nica huarte gabriela tagliavini,comedy romance,4.6,8,eva longoria christian slater oscar nunez kate del castillo m\u00f3nica huarte gabriela tagliavini comedy romance
dear frankie,gerard butler emily mortimer jack mcelhone sharon small katy murphy shona auerbach,drama family,7,46,gerard butler emily mortimer jack mcelhone sharon small katy murphy shona auerbach drama family
all hat,rachael leigh cook luke kirby keith carradine lisa ray graham greene leonard farlinger,action comedy drama western,1,1,rachael leigh cook luke kirby keith carradine lisa ray graham greene leonard farlinger action comedy drama western
le nom des gens,jacques gamblin sara forestier zinedine soualem jacques boudet carole franck michel leclerc,drama comedy romance,7.3,93,jacques gamblin sara forestier zinedine soualem jacques boudet carole franck michel leclerc drama comedy romance
treading water,douglas smith zo\u00eb kravitz ariadna gil don mckellar kim ly analeine cal y mayor,drama comedy,5.6,6,douglas smith zo\u00eb kravitz ariadna gil don mckellar kim ly analeine cal y mayor drama comedy
savage grace,julianne moore stephen dillane eddie redmayne elena anaya hugh dancy tom kalin,drama,5.7,60,julianne moore stephen dillane eddie redmayne elena anaya hugh dancy tom kalin drama
